Particulars, Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Other Operating Expenses,,,,,,,,,,"292,011",,,"352,511","63,824","174,123","243,925","293,131","74,687","204,849","291,991","467,293","85,490","235,313","329,661","509,488","92,079","240,153","346,339","544,296",,"257,420","360,248","555,221",.,"255,299","373,700","603,529","119,886","210,621","443,462","680,913","140,567","324,695",,"659,448","100,070","372,070",,,,,"159,991",,,,,,,,,,,,,,,,
Operating Profit before provision,,,,,,,,,,"291,721",,"1,015,270","1,367,982","340,290","703,198","1,142,545","1,516,697","402,556","798,119","1,273,514","1,790,392","538,009","1,075,740","1,710,558","2,401,556","557,552","1,102,734","1,768,033","2,494,039",,"1,225,315","1,928,972","2,416,603",,"1,205,935","1,949,962","2,834,105","819,251","1,583,363","2,446,589","3,182,017","891,658","1,856,098",,"4,097,003",,,,,,,,,,,,,,,,,,,,,,,
Provision for possible losses,,,,,,,,,,"74,400",,"53,787","1,272,090","123,190",677,677,"1,433",,"34,869",,"1,49,482",46,46,46,88,88,20,"5,876","7,476",,"25,435","25,435","207,120",.,"31,964","69,414","168,134","49,773","96,570","91,533","122,449","60,701","80,294",,"34,891",,,,,,,,,,,,,,,,,,,,,,,
"Operating Profit""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,,,,,,,,,"1,543",,"9,749","83,553","1,543","1,248","3,095",,"1,257","2,080","3,984","25,156","1,359","2,751","3,733","8,337","1,464","4,155","5,403","9,934",,"4,191","6,224","12,484",,"1,581","53,003","12,026","2,021","4,662","7,452","10,936","1,761","4,399",,,,,,,,,,,,,,,,,,,,,,,,,
Write back of provision for possible loss,,,,,,,,,,"233,032",,"28,827",,"5,005",677,677,"1,433",,677,,"1,49,482",46,46,46,88,88,20,"5,876","7,476",,"25,435","25,435","207,120",.,"52,608",,"92,751","35,306","35,306","35,306","43,324","2,455","11,834",,"34,891",,,,,,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,,,,,,,,,,"233,032",,,"1,306,790","326,030","675,629","1,097,717","1,476,169","384,412","765,330","1,235,793","1,713,843","514,920","1,009,632","1,625,429","2,311,174","551,720","1,067,207","1,698,653","2,437,725",,"1,211,927","1,876,103","2,472,245",,"1,230,756","1,946,586","2,783,441","806,805",,"2,397,815","3,113,828","835,173","1,792,037",,"3,992,404",,,,,,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,,,,,,,,"7,122",,"1,190",197,197,"12,052",,197,,,46,46,46,88,,20,20,20,,,,,.,,"7,122","4,279","4,279",,395,"4,279",,481,,481,,,,,,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,,,,,,,,,,,,,,,"675,432","1,097,520","1,464,117","384,412",,"1,235,793","1,713,843","514,874","1,009,586","1,625,383","2,311,085","551,720","1,067,187","1,698,633","2,437,705",,"1,211,927","1,876,103","2,472,245",,,,,,,"2,397,815","3,113,828",,"1,791,557",,"3,991,923",,,,,,,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,,,,,,,,,,"153,111",,"90,267","118,700","29,621","61,403","99,775",,"34,947","69,575","112,345","155,804","46,807","91,781","147,762","210,099","50,156","97,017","154,421","221,610",,"110,175","170,555","224,750",,"111,887","176,926","253,429","73,346","120,704","217,983","283,075","75,925","162,869",,"362,902",,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,"270,801",,"88,864","184,209","299,324","133,102","104,840","208,726","337,034","467,474","140,420","275,342","443,286","629,869","150,469","291,051","463,264","666,397",,"330,525","511,664","673,143",.,"365,094","560,212",,"220,038","416,389","653,949","849,055","227,774","488,606",,"1,084,485",,,,,,,,,,,,,,,,,,,,,,,
Ratios,,,,,,,,,,,,,,,14.33,13.48,,11.89,,8.82,11.67,13.98,17.2,18.5,17.32,20.39,29.31,27.56,30.58,,25.92,27.03,27.17,,,,,,,,,,,,75.98%,,,,,,,75.05%,,,,,,,,,,,,,,,,
Capital Fund to RWA,,,,,,,,,,10.37,,11.50,10.77,10.96,10.96%,11.95%,,10.37%,10.30,10.98%,11.08%,11.13%,11.09%,11.59%,13.21%,11.79%,11.71%,11.92%,12.89%,,11.54%,12.04%,13.32%,,14.49,13.95,12.79,13.22,13.25,13.88,14.85,15.46,15.68,,14.56%,13.28,12.57,,,,,12.62%,,,,,,,,,,,,,,,,
