Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Other Operating Income,,,,,,,"2,741",,"6,005","18,581","35,920","41,047","50,806","15,709","33,844","47,031","62,012","16,247","44,199","73,392","94,507","35,417","76,623","109,474","182,093","69,708","142,952","189,853","289,788","69,021","136,975","216,437","243,541","73,485","152,987","248,424","441,743","123,886","242,406","529,708","316,461",,"266,869","410,320",,"122,744","285,324",,,,,,,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,,,,"22,454",,"38,683","10,003","16,666","18,765","12,168","1,418","10,145","19,221","38,690","25,697","47,923","73,067","115,627","37,764","81,034","130,931","156,645","54,598","72,837","102,211","132,327","26,103","56,471","96,538","142,341","47,593","102,744","131,535","164,756","16,843","63,465","113,312","167,085",,"116,964",,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income,,,,,,,"280,700",,"569,267","168,132","352,850","494,888","717,490","213,767","429,531","676,384","933,244","205,685","475,564","742,615",,"286,325","684,959","1,098,572",,"392,674","862,853","1,294,550",,"438,008","920,153","1,462,485",,"520,783","1,140,639","1,849,986","3,703,467","810,286","1,701,831","2,684,034",,,"1,948,510","3,069,720",,,,,,,,,,,,,,,,,,,,,,,,
Staff Expenses,,,,,,,"32,630",,"79,421","19,549","42,963","70,608","103,681","29,893","67,117","103,874","156,394","37,206","77,481","122,911","173,884","43,480","92,464","149,593","216,526","56,751","119,221","185,413","242,447","70,316","141,139","233,519","328,131","87,959","179,411","286,113","614,000","110,108","231,214","420,872","372,850",,"364,987","575,426",,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,"46,204",,"113,429","31,707","66,306","108,978","174,955","52,251","113,771","180,669","266,068","63,944","140,372","223,897","336,340","85,617","179,205","282,040","376,881","98,713","201,193","311,072","436,309","108,129","220,689","335,838","459,807","109,416","225,433","346,992","637,453","133,058","289,424","450,397","489,677",,"337,800","531,146",,"179,373","395,589",,,,,,,,,,,,,,,,,,,,,
Operating Profit before provision,,,,,,,"201,866",,"376,417","116,875","243,581","315,302","438,854","131,623","248,643","391,842","510,782","104,534","257,711","395,807",,"157,228","413,290","666,939",,"237,210","542,438","798,065",,"259,562","558,325","893,128",,"323,408","735,796","1,216,881","2,452,014","567,120","1,181,193","1,812,765",,,"1,245,722","1,963,147",,,,,,,,,,,,,,,,,,,,,,,,
Provision for possible losses,,,,,,,,,,,,,,,,,,,,,,"8,100",,,,"8,100","8,147","8,147","266,403","266,403","23,208","23,208","197,952","21,232","103,850","149,898","286,228","75,461","127,420","142,246","151,826",,"245,752","265,079",,"23,327","46,685",,,,,,,,,,,,,,,,,,,,,
"Operating Profit""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Write back of provision for possible loss,,,,,,,,,,,,,,,,,,,,,,"8,100",,,,"8,100","8,147","8,147","266,403","266,403","23,208","23,208","197,952","21,232","103,850","149,898","286,228","75,461","127,420","142,246","151,826",,"245,752","265,079",,,,,,,,,,,,,,,,,,,,,,,,
