Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Staff Expenses,,,,,,,,,,,,,"100,257","32,396","61,032","97,299","155,004",,"69,624","108,670","225,211","67,619","124,575",3.7,"289,775",,"168,049","248,495","377,602",,"272,142","419,005","633,791","201,249","354,703","507,343","671,382","278,568","414,199","613,919","810,236","265,518","506,988","770,066","1,006,705","454,071",,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,,,,"249,109","51,465","103,393","157,572","235,260",,"121,031","189,432","371,738","85,396","169,400",,"485,099",,"238,783","371,407","640,485",,"294,511","461,032","749,630","151,690","322,223","492,298","849,236","193,794","418,101","644,008","958,001","224,356","519,763","818,328","1,005,992","257,964","546,923","230,060,409",,,,,,,,,,,,,,,,,,,,
Operating Profit before provision,,,,,,,,,,,,,"359,025","155,750","281,414","392,310","468,722",,"228,067","335,233","653,319","237,307","531,070",3.8,"1,064,387",,"628,182","997,119","1,389,669",,"954,445","1,436,468","1,792,902","477,773","1,121,372","1,787,330","2,467,790","704,708","1,462,602","2,296,069","3,126,279","562,223","1,393,780","2,056,838","3,034,661","752,925",,,,,,,,,,,,,,,,,,,,,,
Provision for possible losses,,,,,,,,,,,,,"145,838",,"73,062",,,,"66,289",,,"211,753",,,"143,340",,"261,005","341,234",,,"178,473","231,359",,,,,,,,,,"81,928",,,"654,667",,,,,,,,,,,,,,,,,,,,,,,
"Operating Profit""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,,,,,,,,,,,,440,210,210,139,133,,"3,148","3,127","5,929","22,769",232,3.10,291,,"78,350","30,908","49,617",,334,322,"17,448","8,810","11,901","23,030","34,494","7,218","40,724","37,298","88,481","70,008","86,214","105,641","160,373","2,373",,,,,,,,,,,,,,,,,,,,,,
Write back of provision for possible loss,,,,,,,,,,,,,,,,,"166,245",,,,"211,753","211,753","48,863",,"143,340",,"261,005","341,234","410,949",,"178,473","231,359","472,851","45,490","143,203","209,570","252,229","107,533","195,054","279,593","390,055","81,928","235,172","356,137","654,667","107,533",,,,,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,,,,,,,,,,,,,"213,627","138,113","208,142","247,882","381,903",,"164,926","270,745","673,299","131,725","384,853",3.11,"875,594",,"778,174","1,085,783","1,518,297",,"843,413","1,269,659","1,762,798","490,228",,,"2,163,753","660,062","1,427,446","2,307,174","3,238,165","548,484","1,506,360","2,299,384","3,554,541","660,062",,,,,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,,,,,,,,,,,,,"93,481",,,,"118,506",,,,,,,,"33,102",,,,"176,229","175,476","5,509","43,608","46,738","47,205","2,119","125,439","31,610",,"1,888","1,888",,"47,205",,,,,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,,,,,,,,,,,,,"213,627","138,113","208,142","247,882",,,,,,,,,,,,,"1,551,399",,,,"1,586,569","490,228",,,"2,210,491","660,062",,,,"550,164",,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,,,,,,,,,,,,,"19,421","12,556","18,922","22,535","26,220",,"14,992","24,613","50,435","11,975","34,987",3.13,"78,062",,"70,743","98,707","140,509",,"77,175","115,913","144,233","45,110","109,283","149,138","201,444","60,824","130,778","212,874","298,174","51,200","138,298","209,938","310,538","60,824",,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,,,,,,,,,,"105,190","87,890","132,454","157,743","226,316",,"104,952","172,292","353,050","83,825","244,906",4,"552,487",,"532,806","727,373","1,027,148",,"541,898","812,441","1,010,970","311,892","761,160","1,040,986","1,408,914","420,004","917,768","1,492,170","2,083,664","346,785","961,023","1,461,093","2,164,075","420,004",,,,,,,,,,,,,,,,,,,,,,
Ratios,,,,,,,,,,,,,,79.22%,12.51,6.,,10.88,12.89,,,16.42,,24.01,19.29,,11.22,"714,000",,,24.48,20.66,,,,,,,,,,24.28,,,11.95,,,,,,,,,,,,,,,,,,,,,,,
